Name,Lat,Long,Id,Address,Rating
Harper House Assisted Living,30.2863582,-97.69922389999999,ChIJoVw7ZeK1RIYRNCmi0JkZHwE,"2201 Greenwood Ave, Austin",0.0
The Village at The Triangle,30.3133579,-97.7341465,ChIJaVrQ-WTKRIYR0lEg-VRkQRA,"4517 Triangle Ave, Austin",4.9
Barton Hills Assisted Living,30.252569,-97.768689,ChIJ44aMtCC1RIYRFkROxW1rbe4,"1606 Nash Ave, Austin",4.3
Belmont Village Senior Living West Lake Hills,30.287426,-97.8129596,ChIJs4k05ptKW4YRk0IaVnJ-fYY,"4310 Bee Caves Rd, Austin",3.9
Parsons House Austin,30.3244573,-97.6966468,ChIJjW3GNfXJRIYR6AsP5IwOOPU,"1130 Camino La Costa, Austin",4.0
Assisted Living Tours,30.276431,-97.746398,ChIJdZN6u3S1RIYRElxcqG2HBz4,"603 W 13th St, Austin",0.0
Oasis Senior Advisors Austin,30.300459,-97.7353473,ChIJX0PDvPLLRIYRflKvtLNpne4,"3710 Cedar St #281, Austin",5.0
Brookdale Northwest Hills,30.3424958,-97.7689379,ChIJIYmZvNjKRIYRn9g9mMA6_kk,"5715 Mesa Dr, Austin",4.0
Brookdale Westlake Hills,30.2675333,-97.78756969999999,ChIJVzHjgcxKW4YRArZ3TXUc2K8,"1034 Liberty Park Dr, Austin",4.2
Austin Supported Living Center,30.3067611,-97.7596052,ChIJFRlgoZnKRIYRXOuynV9FN10,"2203 W 35th St, Austin",3.5
Assisted Living Guidance,30.264881,-97.7462917,ChIJeyIbsAi1RIYRb9mbyRU4YbA,"271 W 2nd St, Austin",0.0
Summit Senior Living Network,30.267476,-97.78756200000001,ChIJVzHjgcxKW4YRQ_O6mSd_aW8,"1034 Liberty Park Dr, Austin",5.0
Brookdale Gaines Ranch,30.2419239,-97.81638489999999,ChIJuTGQWxtLW4YRpemImL4fklA,"4409 Gaines Ranch Loop, Austin",4.4
Tech Ridge Oaks Assisted Living and Memory Care,30.3965949,-97.6665103,ChIJXZ0dRM3ORIYR1atdHYGo1pU,"400 E Yager Ln, Austin",5.0
Querencia At Barton Creek,30.2904638,-97.86787919999999,ChIJcxmf7wBKW4YRMfrDfF4CQ9o,"2500 Barton Creek Blvd, Austin",3.9
Burkes Adult Supervised Living,30.309368,-97.68059500000001,ChIJQ7Zfv-bJRIYRXEVjlDzeYCE,"2612 Wheless Ln, Austin",2.3
Colonial Gardens Memory Care Assisted Living of Texas,30.4214634,-97.7144728,ChIJISNrXDnMRIYRlktveVo9kzM,"3700 Adelphi Ln, Austin",4.0
Legacy Oaks of South Austin Assisted Living and Memory Care,30.2286693,-97.8809189,ChIJi9DnrmVJW4YRfD1oZZCAw4s,"7501 US-290, Austin",4.7
Elmcroft of Austin,30.2004505,-97.80652909999999,ChIJAbjsgZ9MW4YR_pDyfhlRfO0,"7017 Manchaca Rd, Austin",3.6
South Austin Assisted Living,30.1960457,-97.8612052,ChIJUbdtnghMW4YRhyCDOkFA4VM,"4601 Chesney Ridge Dr, Austin",5.0
