Name,Lat,Long,Id,Address,Rating
The Village at The Triangle,30.3133579,-97.7341465,ChIJaVrQ-WTKRIYR0lEg-VRkQRA,"4517 Triangle Ave, Austin",4.9
Longhorn Village,30.350509,-97.909587,ChIJzzFgDeQ2W4YR5MAvsZinZUg,"12501 Longhorn Pkwy, Austin",4.5
Solstice Senior Living at Austin,30.2229472,-97.8018252,ChIJeWADLkFLW4YRn9Vo_hsLLZ0,"2603 Jones Rd, Austin",3.8
Querencia At Barton Creek,30.2904638,-97.86787919999999,ChIJcxmf7wBKW4YRMfrDfF4CQ9o,"2500 Barton Creek Blvd, Austin",3.9
Belmont Village Senior Living West Lake Hills,30.287426,-97.8129596,ChIJs4k05ptKW4YRk0IaVnJ-fYY,"4310 Bee Caves Rd, Austin",3.9
Atria at the Arboretum,30.3923647,-97.7573262,ChIJCybSzp3MRIYRCinqw-V0VOg,"9306 Great Hills Trail, Austin",4.7
The Continental Retirement Community,30.2340778,-97.8032676,ChIJlS2aRDxLW4YRLGC6n7T3UIM,"4604 S Lamar Blvd, Austin",4.8
Court at Round Rock,30.5401376,-97.67057199999999,ChIJS1QDhQ7RRIYR1ngW_2EONlk,"2700 Sunrise Rd, Round Rock",4.2
Brookdale Home Health Austin,30.362516,-97.74866,ChIJMUPLPQzLRIYRhs9zBkUL564,"3636 Executive Center Dr Suite 216, Bld 8, Austin",0.0
Oasis Senior Advisors Austin,30.300459,-97.7353473,ChIJX0PDvPLLRIYRflKvtLNpne4,"3710 Cedar St #281, Austin",5.0
The Enclave at Cedar Park Senior Living,30.459401,-97.82572789999999,ChIJQapR24syW4YRFYxqH9NLiYg,"3405 El Salido Pkwy, Cedar Park",5.0
Provident Crossings Retirement Resort,30.4921705,-97.656165,ChIJHQpSltTRRIYREK1jZgMEIpc,"1950 S A.W. Grimes Blvd, Round Rock",4.4
Brookdale Gaines Ranch,30.2419239,-97.81638489999999,ChIJuTGQWxtLW4YRpemImL4fklA,"4409 Gaines Ranch Loop, Austin",4.4
